planner_name,success_rate,found_valid_path,first_solution_ms,total_planning_ms,replans,path_length,min_clearance_px
RRT,100.0,1.0,6559.0,6559.0,7.4,1274.832934071938,10.188655149936675
RRT_CONNECT,100.0,1.0,6095.25,6095.25,7.1,1253.914774698777,2.7235050171613695
RRT_STAR,100.0,1.0,8578.5,19001.75155735016,14.9,975.327006633302,2.5135449945926664
